Date,TVL_sum
2022-10-14,5.175494432119311173361668554184538488647507559473928940572292309441286750917063e+10
2022-02-01,8.462035348236589144074422920048245348393850373709291281218878221881458855694139e+10
2022-02-02,9.30674314614517362465681982994581426458181991371345655125852716218203204702e+10
2022-02-03,9.72904497177356481778880565450941978159652219163487942061870119915795265940297e+10
2022-02-04,1.063622988468291108652602423782698517940942100223361446917469958777017924965858e+11
2022-02-05,8.38887529901611242002305683728038688081998457824495197852420546701174404694587e+10
2022-02-06,9.238847767723824341817496056156276223265614268466505453540218040624183008543443e+10
2022-02-07,1.048761141259550694175839245637862390925865695355333532398809653665690814616876e+11
2022-02-08,1.098298199533853745485256098905026929829803360743646044787864984136347878381712e+11
2022-02-09,1.176204175479601106220501744154056323693499712219966211739915655282601080561653e+11
2022-02-10,1.183365026286363026431561761530070956787156561822046533693873014756771267767818e+11
2022-02-11,1.387403111531902739762583699353023358750993814444733366612705531804560885529517e+11
2022-02-12,1.102857057551814301299938427702801677642671752477725824382112373205609173022297e+11
2022-02-13,9.526649245381262163322297260569746192360986186883054990143787079891974091613501e+10
2022-02-14,1.097657325273880965867937870114414397801082097617707092806946429472981337497416e+11
2022-02-15,1.281636630933323039961146654235783631229638568602891913229542942379503449830011e+11
2022-02-16,1.177882310166476587679715003308045228587416314762426141167074934237631009814075e+11
2022-02-17,1.217063885012285555032009259171883546237967912725217183313797384867210953540887e+11
2022-02-18,1.231637252301953730520577707488294879183690623863417207457029599992240383254119e+11
2022-02-19,9.654833153580045578340779611460792383771429874400943651287032706498810397715877e+10
2022-02-20,1.199686013939408005149848087022952871028994996100378055986181015167100069842516e+11
2022-02-21,1.035074622831453242283554667528863955257615381926266032214046023308487899136471e+11
2022-02-22,1.279431807803390251636897259044105567773455938779390566090329846489683433582191e+11
2022-02-23,9.119613249274943343285991279675144328563497791139260746817874354906430237500145e+10
2022-02-24,2.441243798042937856324929798194299021198275890198048442629298491355065441508293e+11
2022-02-25,1.055647761042280291905097868075850295159769594891906143294638045508520132502232e+11
2022-02-26,8.806948344906480213154895518270582203057507502484561720108472619183380797428994e+10
2022-02-27,9.540820527706378357194000673345841844547159138050886657451329282707718829885442e+10
2022-02-28,9.679541334439738374048876655303577476113617236333543533110301058115318786520133e+10
2022-03-01,1.056852689653997623132172424037488937412249362140763909323163956236587271162558e+11
2022-03-02,1.15607036944660368536641155237280089268608292137619623419164675010489597548205e+11
2022-03-03,1.223500766997564357149884260905447266057693523148997025264335038086400045581546e+11
2022-03-04,1.289309023539450453236613061854407554762379533604595700511184574194904123431009e+11
2022-03-05,1.142818280509556741924448459515189579703698424977903191346121787729627304408411e+11
2022-03-06,1.199364129177876260658058798313249028748702395442338302954325931007696029547589e+11
2022-03-07,1.434376060479709727909827859018429766342246635720306653998090634622055044200644e+11
2022-03-08,1.378829070012274344989848101575217576663879335835668171730234441702452097851615e+11
2022-03-09,1.249416103156113999026441846977125364382157082040280283241796493992311341238118e+11
2022-03-10,1.174853090976713074350330562492554707482962142545597144611148413012985971217058e+11
2022-03-11,1.249395664536774491470468433456242002514481911219870796073251870893356493649481e+11
2022-03-12,1.023236975266263401143440357276550195623266979972392459818458550096158652561006e+11
2022-03-13,1.075773283902320030648661918012608823782655987028457390045567504420655042391701e+11
2022-03-14,1.150565026368440435545751064227106419035286047032536502551040512034241382003084e+11
2022-03-15,1.163304707901146266593009589294733383698538398751130029807877841287050866382856e+11
